epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2069.22,0.78306,0.45056,1.00588,0.77546,0.80216,0.73338,0.56208,0.8373,0.72411,1.08819,0.007734,0.007734,0.007734
105,2089.05,0.78288,0.44646,1.00899,0.78797,0.79725,0.74277,0.57312,0.83798,0.72129,1.09569,0.007712,0.007712,0.007712
106,2107.84,0.78485,0.44942,1.00398,0.77531,0.80657,0.74375,0.57414,0.84324,0.72584,1.09894,0.00769,0.00769,0.00769
107,2126.33,0.7764,0.4389,0.99751,0.77111,0.80777,0.73806,0.56875,0.84296,0.7253,1.09036,0.007668,0.007668,0.007668
108,2145.82,0.77941,0.44709,1.00179,0.77244,0.79903,0.74019,0.5698,0.83875,0.72435,1.08184,0.007646,0.007646,0.007646
109,2166.16,0.77821,0.44056,1.00119,0.77831,0.79716,0.73978,0.57074,0.84014,0.72589,1.0868,0.007624,0.007624,0.007624
110,2186.4,0.78105,0.44725,1.00616,0.76619,0.80455,0.73762,0.56785,0.84146,0.72653,1.08564,0.007602,0.007602,0.007602
111,2206.54,0.78074,0.44824,1.00411,0.77449,0.80149,0.74218,0.57407,0.84172,0.72586,1.08699,0.00758,0.00758,0.00758
112,2227.08,0.77456,0.44283,1.00305,0.78731,0.78446,0.7439,0.57557,0.83976,0.72698,1.09014,0.007558,0.007558,0.007558
113,2247.65,0.77815,0.445,1.00993,0.78131,0.78996,0.74153,0.57352,0.8399,0.72573,1.09481,0.007536,0.007536,0.007536
114,2267.71,0.77057,0.4339,0.99607,0.77907,0.78821,0.7404,0.57088,0.83901,0.72626,1.09116,0.007514,0.007514,0.007514
115,2288.19,0.77698,0.4432,1.00319,0.7856,0.78366,0.73882,0.56979,0.83825,0.72963,1.09313,0.007492,0.007492,0.007492
116,2308.62,0.77125,0.43907,1.00084,0.78164,0.78392,0.73573,0.56801,0.83843,0.73056,1.09957,0.00747,0.00747,0.00747
117,2328.73,0.77525,0.44731,1.00233,0.78711,0.78317,0.73418,0.56809,0.84057,0.73113,1.10419,0.007448,0.007448,0.007448
118,2349.29,0.77452,0.44084,0.99872,0.76642,0.80059,0.73065,0.5635,0.84119,0.73264,1.10547,0.007426,0.007426,0.007426
119,2369.5,0.77247,0.44139,1.00335,0.76574,0.79704,0.72958,0.56277,0.83904,0.73038,1.10525,0.007404,0.007404,0.007404
120,2389.28,0.77043,0.43646,0.99689,0.76876,0.79827,0.73737,0.56963,0.83875,0.72743,1.10615,0.007382,0.007382,0.007382
121,2409.36,0.7698,0.43696,0.99745,0.78273,0.78735,0.73614,0.56789,0.83881,0.72961,1.10594,0.00736,0.00736,0.00736
122,2429.2,0.76789,0.4335,0.99318,0.78214,0.78773,0.738,0.56832,0.83833,0.7307,1.09929,0.007338,0.007338,0.007338
123,2449.25,0.76737,0.43404,0.99752,0.78051,0.7878,0.73095,0.56264,0.83965,0.73358,1.10098,0.007316,0.007316,0.007316
124,2468.99,0.76317,0.43147,0.99286,0.78033,0.7896,0.73316,0.56558,0.84193,0.73025,1.1021,0.007294,0.007294,0.007294
125,2488.97,0.76197,0.42676,0.98841,0.7825,0.7862,0.73105,0.56456,0.84022,0.72869,1.09612,0.007272,0.007272,0.007272
126,2508.36,0.7606,0.43091,0.99696,0.78081,0.78746,0.72749,0.56132,0.84077,0.73068,1.10103,0.00725,0.00725,0.00725
127,2528.58,0.76153,0.42779,0.99078,0.78073,0.7874,0.72851,0.56239,0.84197,0.72983,1.10361,0.007228,0.007228,0.007228
128,2548.82,0.76293,0.43202,0.98901,0.76014,0.80501,0.72927,0.56131,0.84285,0.72654,1.10175,0.007206,0.007206,0.007206
129,2569.02,0.76622,0.4351,0.99351,0.78283,0.79007,0.72877,0.56175,0.84298,0.72528,1.09996,0.007184,0.007184,0.007184
130,2589.27,0.76461,0.43127,0.99582,0.76859,0.80209,0.72949,0.56313,0.84204,0.72588,1.09991,0.007162,0.007162,0.007162
131,2609.34,0.75977,0.43212,0.9904,0.76955,0.80252,0.72892,0.56334,0.83973,0.72379,1.09651,0.00714,0.00714,0.00714
132,2629.37,0.75789,0.425,0.99115,0.76765,0.806,0.72633,0.56108,0.8408,0.72666,1.10056,0.007118,0.007118,0.007118
133,2649.89,0.75992,0.43209,0.99156,0.76695,0.80406,0.72684,0.56153,0.84119,0.72919,1.10001,0.007096,0.007096,0.007096
134,2670.16,0.75536,0.42445,0.98991,0.77801,0.79781,0.7286,0.56281,0.84328,0.72888,1.10423,0.007074,0.007074,0.007074
135,2690.03,0.75745,0.42762,0.99385,0.78511,0.79128,0.7296,0.56442,0.84299,0.7281,1.10586,0.007052,0.007052,0.007052
136,2710.45,0.75623,0.42657,0.98982,0.78597,0.79302,0.72994,0.56527,0.84221,0.72767,1.10273,0.00703,0.00703,0.00703
137,2730.82,0.75731,0.42628,0.98972,0.78726,0.79197,0.72953,0.56435,0.84115,0.72819,1.09958,0.007008,0.007008,0.007008
138,2751,0.75183,0.42152,0.98559,0.78614,0.79212,0.72978,0.56509,0.84121,0.7281,1.09857,0.006986,0.006986,0.006986
139,2771.09,0.75662,0.42647,0.98793,0.7858,0.79472,0.73207,0.56619,0.84137,0.72849,1.09802,0.006964,0.006964,0.006964
140,2791.04,0.75659,0.42652,0.98826,0.77691,0.80116,0.73099,0.56513,0.84154,0.72889,1.09876,0.006942,0.006942,0.006942
141,2810.99,0.75246,0.42344,0.98474,0.76528,0.80588,0.72956,0.56365,0.84246,0.73,1.09899,0.00692,0.00692,0.00692
142,2831.06,0.7522,0.42515,0.98342,0.79074,0.78603,0.72873,0.56315,0.84189,0.72927,1.09532,0.006898,0.006898,0.006898
143,2851.2,0.7503,0.42215,0.98503,0.79253,0.78577,0.72856,0.56334,0.84089,0.72979,1.09254,0.006876,0.006876,0.006876
144,2870.95,0.7508,0.42116,0.98488,0.79031,0.78848,0.72905,0.56417,0.83985,0.72995,1.09092,0.006854,0.006854,0.006854
145,2890.96,0.75175,0.42296,0.98176,0.79089,0.78841,0.7283,0.56252,0.83928,0.72906,1.08896,0.006832,0.006832,0.006832
146,2910.94,0.7482,0.41796,0.98599,0.79004,0.7887,0.72913,0.56392,0.83934,0.72871,1.08981,0.00681,0.00681,0.00681
